FENCE_ID|FENCE_TYPE|BELONG_AREA
观日路(望海路至会展路段 )_R_1|1|厦门
象屿路0_R_1|1|厦门
望海路0_R_2|1|厦门
望海路0_R_1|1|厦门
云顶北路0_R_45|1|厦门
云顶中路0_L_4|1|厦门
前埔东路_R_1|1|厦门
长岸路_L_13|1|厦门
云顶中路0_L_A03002|1|厦门
望海路0_L_1|1|厦门
龙伏路0_L_4|1|厦门
创新二路_R_|1|厦门
环岛干道0_R_33|1|厦门
仙岳路0_L_A14001|1|厦门
湖滨西路0_L_11|1|厦门
金边路0_R_A04004|1|厦门
育秀东路_L_A09001|1|厦门
展鸿路0_R_A07001|1|厦门
观日路0_R_1|1|厦门
吕岭路0_L_A07005|1|厦门
创新路(马龙路至火炬北路段)_L_14|1|厦门
象屿路0_L_2|1|厦门
湖滨南路0_L_22|1|厦门
华荣路0_R_19|1|厦门
湖滨南路0_L_19|1|厦门
云顶北路0_L_5|1|厦门
湖里大道0_L_9|1|厦门
高崎南五路0_L_7|1|厦门
仙岳路0_L_52|1|厦门
枋湖北路_L_A19006|1|厦门
高崎南五路0_L_9|1|厦门
翔云路0_L_1|1|厦门
云顶中路0_L_5|1|厦门
安岭路_R_11|1|厦门
金山中路_L_1|1|厦门
滨海路0_R_1|1|厦门
湖滨南路0_L_10|1|厦门
创新路(马垅路至火炬路)_R_2|1|厦门
高崎南五路0_L_18|1|厦门
钟宅路0_R_15|1|厦门
湖滨南路0_L_11|1|厦门
虎仔路0_L_1|1|厦门
育秀东路(体育路至仙岳路段)_L_4|1|厦门
创新路0_L_1|1|厦门
莲前东路_R_4|1|厦门
云顶中路0_R_7|1|厦门
湖滨南路0_L_21|1|厦门
高崎南十二路_R_B27001|1|厦门
护安路_L_1|1|厦门
创新路0_R_1|1|厦门
展鸿路0_R_6|1|厦门
岐山北二路_R_6|1|厦门
安岭路_L_15|1|厦门
高崎南五路0_R_7|1|厦门
安岭路0_R_12|1|厦门
高崎南五路0_L_6|1|厦门
湖滨南路0_L_12|1|厦门
莲前西路0_R_1|1|厦门
钟宅西二路0_R_13|1|厦门
民族路_R_3|1|厦门
创新路(马垅路至火炬路段)_L_3|1|厦门
吕岭路_L_A20016|1|厦门
创新路_R_11|1|厦门
前埔北路_R_10|1|厦门
体育路(湖滨中路至湖滨东路)_L_10|1|厦门
洪莲路0_R_1|1|厦门
吕岭路0_L_A07006|1|厦门
环岛干道(枋钟路至安岭路)_L_26|1|厦门
高林中路(高林路至环岛干道)_L_2|1|厦门
云顶中路0_L_30|1|厦门
创新路(马垅路至火炬路)_R_3|1|厦门
创新二路_L_1|1|厦门
安岭路0_R_10|1|厦门
翔远三路_R_3|1|厦门
百家村路0_R_5|1|厦门
安岭路0_R_9|1|厦门
吕岭路_L_B10017|1|厦门
湖滨南路(厦禾路辅路至湖滨东路段)_R_14|1|厦门
仙岳路辅路_L_B27006|1|厦门
马垅路_L_4|1|厦门
曾厝垵西路_R_3|1|厦门
金山中路_L_2|1|厦门
云顶中路0_L_8|1|厦门
吕岭路_R_B10002|1|厦门
环岛北路_L_3|1|厦门
金尚路(吕岭路至仙岳路段)_R_9|1|厦门
演武路0_L_A11004|1|厦门
白鹭洲路0_R_8|1|厦门
仙岳路0_L_53|1|厦门
护安路_L_9|1|厦门
岐山路(安岭路至钟宅路)_L_4|1|厦门
环岛北路_L_1|1|厦门
吕岭路(环岛干道至环岛东路段)_L_3|1|厦门
曾厝垵西路_R_2|1|厦门
云顶中路0_L_A03003|1|厦门
高崎南五路0_L_10|1|厦门
安岭路_L_16|1|厦门
